x,y
100.221,36.822
99.792,36.939
99.839,36.964
99.82,36.95
99.787,36.94
99.834,36.957
99.784,36.94
99.813,36.944
99.903,36.968
99.79,36.942
99.792,36.934
99.788,36.941
99.59,36.95
99.753,36.782
99.652,36.949
99.654,36.948
99.627,36.943
99.652,36.947
99.65,36.951
99.654,36.883
99.653,36.952
99.788,36.763
99.832,36.925
99.844,36.963
99.856,36.961
99.418,37.043
99.839,36.963
99.819,36.949
99.843,36.964
99.764,36.746
99.794,36.743
99.804,36.731
99.81,36.744
99.796,36.729
99.21,36.548
99.798,36.747
99.797,36.738
99.708,36.699
99.799,36.733
99.852,36.711
99.794,36.736
99.8,36.731
99.794,36.741
99.795,36.736
99.793,36.742
99.793,36.741
99.822,36.724
99.8,36.73
99.826,36.75
99.785,36.752
99.714,36.754
99.814,36.726
99.796,36.739
99.518,36.691
99.817,36.731
99.803,36.73
99.799,36.734
99.8,36.738
99.763,36.736
99.795,36.74
99.8,36.733
99.798,36.738
98.877,36.655
99.866,36.747
99.794,36.738
99.798,36.737
99.804,36.73
99.79,36.748
99.797,36.739
99.798,36.734
99.835,36.734
99.805,36.724
99.795,36.742
99.798,36.733
100.081,36.823
99.791,36.737
99.81,36.745
99.818,36.72
99.84,36.729
99.814,36.713
99.814,36.73
99.802,36.733
99.804,36.729
99.805,36.739
99.984,36.757
99.813,36.737
99.851,36.733
99.802,36.732
99.824,36.726
99.906,36.808
99.825,36.714
99.8,36.732
99.792,36.726
99.795,36.739
99.724,36.7
99.812,36.726
99.791,36.724
99.803,36.733
99.83,36.724
99.829,36.724
99.801,36.734
99.796,36.74
99.786,36.735
99.803,36.731
100.058,36.725
99.843,36.704
99.805,36.73
99.802,36.731
99.796,36.742
99.8,36.734
99.915,36.633
99.848,36.836
99.803,36.732
99.8,36.735
99.8,36.728
99.915,36.799
99.917,36.798
99.801,36.733
99.795,36.734
99.916,36.798
99.806,36.727
99.803,36.729
99.843,36.727
99.802,36.73
99.543,36.723
99.339,36.71
99.804,36.732
99.774,36.782
99.84,36.732
99.824,36.728
99.792,36.714
99.775,36.739
99.81,36.731
99.854,36.741
100.042,36.817
99.834,36.725
99.835,36.725
99.833,36.725
99.79,36.737
99.199,36.854
99.771,36.803
99.801,36.73
99.801,36.731
99.732,36.715
99.799,36.737
99.806,36.729
99.805,36.728
99.884,36.706
99.863,36.738
99.728,36.788
99.801,36.729
99.845,36.727
99.802,36.728
99.815,36.726
99.783,36.738
99.798,36.736
99.798,36.735
99.917,36.803
99.916,36.799
99.781,36.738
99.83,36.727
100.042,36.825
99.792,36.682
99.871,36.807
99.833,36.724
99.915,36.8
99.844,36.784
99.887,36.741
99.913,36.798
99.914,36.799
99.639,36.749
100.053,36.444
99.888,36.789
99.799,36.735
99.802,36.741
99.797,36.736
100.281,36.67
99.82,36.732
99.522,36.796
99.857,36.753
99.901,36.786
99.715,36.669
99.913,36.799
99.797,36.735
99.835,36.818
99.982,36.783
99.846,36.74
99.886,36.797
99.519,36.732
100.247,36.797
99.987,36.867
100.044,36.799
99.81,36.728
99.674,36.662
99.804,36.728
99.852,36.729
99.859,36.729
99.909,36.795
99.856,36.727
99.76,36.812
99.425,36.902
99.861,36.728
99.916,36.793
99.832,36.87
99.796,36.738
99.811,36.75
99.862,36.723
99.554,36.867
99.803,36.735
99.085,37.022
99.781,36.729
100.145,36.78
99.799,36.729
99.84,36.726
99.741,36.868
99.893,36.79
99.747,36.9
99.857,36.729
99.802,36.729
99.795,36.729
99.806,36.728
99.752,36.729
99.795,36.732
99.798,36.732
99.802,36.735
99.798,36.73
99.842,36.681
99.793,36.735
99.797,36.737
98.838,36.53
99.799,36.738
99.796,36.733
99.474,36.695
99.76,36.76
99.771,36.734
99.798,36.727
99.786,36.73
99.785,36.746
99.801,36.736
99.121,36.778
99.785,36.723
99.812,36.721
99.821,36.732
99.882,36.739
99.796,36.737
99.795,36.733
99.808,36.725
99.794,36.733
99.792,36.732
99.793,36.733
99.798,36.731
99.737,36.747
99.797,36.732
99.799,36.732
99.804,36.734
99.941,36.688
99.907,36.705
99.798,36.742
99.487,36.957
99.636,36.943
99.649,36.889
100.08,36.721
99.633,36.945
99.639,36.896
99.643,36.921
99.576,36.966
99.634,36.945
99.632,36.949
99.633,36.905
99.643,36.955
99.642,36.894
99.64,36.895
99.72,37.132
99.727,37.131
99.721,37.132
99.735,37.129
99.734,37.126
99.734,37.105
99.737,37.119
99.602,37.107
99.736,37.128
99.167,37.263
99.724,37.128
99.72,37.126
99.74,37.127
99.911,37.11
99.614,37.094
99.669,37.202
99.733,37.128
99.733,37.124
99.735,37.128
100.012,37.045
99.724,37.123
99.733,37.123
99.728,37.123
99.734,37.125
99.731,37.13
99.733,37.127
99.73,37.128
99.728,37.118
99.732,37.123
99.734,37.128
99.748,37.031
99.731,37.128
99.733,37.125
99.733,37.129
99.738,37.136
99.734,37.131
99.737,37.134
99.735,37.131
99.735,37.133
99.734,37.13
99.73,37.159
99.728,37.109
99.734,37.132
99.739,37.12
99.887,37.267
99.735,37.132
100.582,37.262
99.59,37.084
99.734,37.133
99.732,37.129
99.732,37.137
99.731,37.131
99.558,37.1
99.733,37.13
99.741,37.119
99.369,37.063
100.287,37.149
99.733,37.134
99.874,37.196
99.734,37.134
99.732,37.128
99.562,37.1
99.736,37.125
99.733,37.131
99.757,37.138
99.261,37.24
99.258,37.239
99.221,37.168
99.26,37.241
99.203,37.1
99.259,37.24
99.26,37.24
99.266,37.239
99.27,37.256
99.265,37.252
99.31,37.235
99.243,37.247
99.264,37.261
99.251,37.247
99.265,37.262
99.249,37.248
99.266,37.262
99.237,37.249
99.244,37.248
99.181,37.246
99.205,37.186
99.24,37.246
99.249,37.249
99.248,37.249
99.25,37.246
99.178,37.317
99.257,37.244
99.251,37.241
99.295,37.33
99.251,37.246
99.25,37.247
99.257,37.233
99.231,37.267
99.25,37.248
99.287,37.253
99.259,37.244
99.223,37.241
99.247,37.248
99.248,37.248
99.223,37.1
99.198,37.268
99.269,37.241
99.247,37.249
99.252,37.246
99.268,37.037
99.255,37.227
99.212,37.173
99.26,37.238
99.248,37.25
99.203,37.101
99.249,37.25
99.298,37.298
99.245,37.265
99.197,37.237
99.256,37.243
99.165,37.485
99.223,37.213
99.246,37.248
99.276,37.271
99.167,37.027
99.247,37.231
99.258,37.223
99.291,37.25
99.239,37.245
99.191,37.172
99.339,37.227
98.976,37.153
98.989,37.177
99.298,37.117
99.263,37.24
98.852,37.268
99.262,37.241
98.91,37.14
99.262,37.24
99.252,37.254
99.23,36.941
99.255,37.236
99.153,37.226
99.233,37.235
99.204,37.1
99.264,37.24
99.202,37.1
99.245,37.213
99.249,37.247
99.241,37.247
99.268,37.263
99.172,37.315
99.201,37.098
99.287,37.272
99.298,37.275
99.327,37.153
99.287,37.094
99.195,37.269
99.252,37.266
99.202,37.101
99.255,37.25
99.264,37.262
99.299,37.195
99.856,37.101
99.453,37.341
99.252,37.256
99.252,37.257
99.253,37.257
99.247,37.245
99.201,37.1
99.276,37.265
99.206,37.274
99.26,37.258
99.257,37.248
99.263,37.245
99.261,37.244
99.261,37.245
99.243,37.246
99.253,37.208
99.239,37.244
99.28,37.245
99.238,37.244
99.237,37.244
99.252,37.244
99.092,37.236
99.265,37.251
99.24,37.243
99.2,37.101
99.264,37.244
99.264,37.245
99.248,37.243
99.27,37.244
99.199,37.102
99.231,37.239
99.239,37.242
99.236,37.244
99.265,37.244
99.25,37.236
99.905,36.622
99.267,37.245
99.253,37.245
99.236,37.245
99.273,37.223
99.242,37.245
99.259,37.241
99.242,37.242
99.178,37.153
99.211,37.101
99.201,37.101
99.257,37.243
99.259,37.243
99.242,37.246
99.202,37.209
99.047,37.213
99.138,37.261
99.237,37.243
99.189,37.263
99.25,37.244
99.215,37.251
99.213,37.104
99.128,37.242
99.242,37.244
99.128,37.142
99.253,37.244
99.242,37.243
99.243,37.245
99.241,37.245
99.291,37.24
99.241,37.246
99.253,37.238
99.243,37.244
99.215,37.171
99.262,37.245
99.238,37.241
99.23,37.241
99.265,37.234
99.24,37.244
99.298,37.23
99.171,37.259
99.251,37.242
99.238,37.242
99.25,37.241
99.239,37.243
99.25,37.242
99.312,37.223
99.017,37.141
99.206,37.105
99.241,37.243
99.405,37.374
99.256,37.242
99.255,37.242
99.231,37.246
99.253,37.241
99.256,37.239
99.252,37.241
99.246,37.243
99.254,37.244
99.222,37.243
99.231,37.245
99.257,37.24
99.251,37.243
99.266,37.307
99.247,37.244
99.204,37.099
99.538,37.341
99.357,37.228
99.248,37.244
99.28,37.236
99.248,37.247
99.277,37.263
99.249,37.246
99.241,37.212
99.24,37.245
99.313,37.18
99.309,37.182
99.367,37.229
99.257,37.234
99.351,37.153
99.234,37.246
99.305,37.184
99.225,37.254
99.238,37.243
99.234,37.248
99.234,37.247
99.26,37.239
99.234,37.249
99.235,37.247
99.324,37.176
99.35,37.183
98.832,37.17
99.27,37.192
99.235,37.244
99.309,37.18
99.31,37.18
99.235,37.245
99.317,37.178
99.252,37.238
99.256,37.268
99.268,37.245
99.238,37.256
99.882,37.212
99.891,37.214
99.886,37.212
98.897,37.242
99.866,37.212
99.871,37.203
99.865,37.212
99.855,37.208
99.864,37.235
99.867,37.212
99.892,37.212
99.856,37.241
99.892,37.214
99.855,37.241
99.894,37.213
99.893,37.213
99.864,37.211
99.786,37.238
99.779,37.204
99.864,37.212
99.885,37.22
99.915,37.193
99.857,37.209
99.813,37.108
99.87,37.211
99.631,36.948
99.641,36.944
99.647,36.942
99.866,37.233
99.65,36.944
99.65,36.946
99.758,37.129
99.763,37.117
99.582,36.925
99.62,36.926
99.619,36.929
99.62,36.927
99.651,36.945
99.48,36.95
99.618,36.927
99.652,36.945
99.574,36.928
99.605,36.909
99.619,36.926
99.653,36.945
99.76,37.125
99.76,37.123
99.882,37.211
99.76,37.122
99.83,37.175
99.857,37.21
99.859,37.209
99.881,37.212
99.633,37.398
99.861,37.213
99.869,37.211
99.856,37.208
99.863,37.211
99.857,37.208
99.877,37.211
99.896,37.214
99.898,37.213
99.892,37.213
99.506,37.292
99.88,37.211
99.698,37.284
100.004,37.216
100.006,37.216
100.007,37.215
99.942,37.216
100.007,37.216
99.886,37.208
99.994,37.222
100.008,37.214
100.051,37.229
100.013,37.212
100.012,37.212
100.019,37.209
100.008,37.213
100.009,37.213
100.011,37.212
100.019,37.21
100.024,37.218
100.015,37.212
100.018,37.21
100.026,37.206
100.023,37.207
100.01,37.212
100.024,37.207
100.008,37.212
100.025,37.206
100.016,37.21
99.979,37.33
100.017,37.211
100.007,37.214
99.941,37.2
100.066,37.19
100.021,37.207
100.057,37.191
100.025,37.205
100.05,37.193
100.02,37.209
100.018,37.209
100.055,37.193
100.037,37.198
100.001,37.234
99.963,37.29
99.812,37.305
99.993,37.221
99.993,37.225
99.997,37.224
99.922,37.206
99.962,37.227
99.96,37.226
99.956,37.223
99.959,37.225
99.932,37.248
99.981,37.243
99.988,37.22
100.035,37.148
99.978,37.232
99.983,37.232
99.989,37.227
99.976,37.231
99.983,37.231
99.817,37.208
99.977,37.232
99.986,37.231
99.989,37.232
100.01,37.219
99.982,37.232
99.971,37.231
99.958,37.233
100.032,37.225
99.964,37.235
99.977,37.226
99.971,37.216
100.006,37.218
99.966,37.229
100.005,37.218
100.002,37.22
100.004,37.219
99.973,37.228
99.92,37.257
99.978,37.233
99.974,37.231
100.0,37.238
100.005,37.217
99.97,37.236
99.968,37.229
99.967,37.229
99.975,37.228
100.017,37.258
99.969,37.23
98.958,37.48
99.992,37.228
99.948,37.247
99.973,37.235
99.975,37.235
99.976,37.23
99.98,37.233
99.976,37.232
99.936,37.245
99.569,37.404
99.996,37.231
100.076,37.277
99.948,37.259
99.987,37.238
100.031,37.243
99.971,37.212
99.991,37.23
99.994,37.225
99.988,37.231
99.991,37.229
99.992,37.229
99.97,37.217
99.983,37.215
99.997,37.222
100.0,37.22
100.03,37.243
99.819,37.251
100.001,37.22
99.994,37.226
99.946,37.237
100.022,37.211
99.994,37.227
99.989,37.231
99.992,37.227
99.988,37.237
99.976,37.239
99.993,37.229
100.006,37.25
100.011,37.233
99.977,37.23
99.968,37.231
99.965,37.231
99.966,37.232
99.973,37.231
99.976,37.228
99.965,37.232
99.977,37.233
99.972,37.23
99.966,37.23
99.988,37.236
99.97,37.231
99.965,37.23
99.97,37.232
99.971,37.23
100.788,36.969
99.964,37.228
99.97,37.23
99.963,37.221
99.958,37.225
99.959,37.226
99.958,37.224
